Название;Норма посадки;Почва;Свет
Иссоп лекарственный розовый (Hyssopus officinalis);;рыхлые, плодородные, слегка влажная, хорошо дренированная;солнце
Калимерис надрезанный (Kalimeris incisa);;легкие, плодородные, влажная, хорошо дренированная;солнце
Камнеломка арендса Lofty Dark Rose (Saxifraga х arendsii);;;
Камнеломка арендса Lofty Pink Shades (Saxifraga х arendsii);;;
Камнеломка арендса Purple Robe (Saxifraga х arendsii);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Ковыль тончайший Pony Tails (Stipa tenuissima);;бедные, сухая, хорошо дренированная;солнце
Ковыль тончайший Angel Hair (Stipa tenuissima);;бедные, сухая, хорошо дренированная;солнце
Колокольчик карпатский Clips White (Campanula carpatica);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Колокольчик карпатский Clips Deep Blue (Campanula carpatica);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Колокольчик молочноцветковый синий, микс (Campanula lactiflora);;рыхлые, плодородные, влажная, хорошо дренированная;полутень, солнце
Колокольчик персиколистный Grandiflora Alba (Campanula persifolia);;легкие, плодородные, сухая, хорошо дренированная;полутень, солнце
Колокольчик персиколистный Earlion Deep Blue (Campanula persifolia);;легкие, плодородные, сухая, хорошо дренированная;полутень, солнце
Колокольчик портеншлага Clockwise Compact Deep Blue (Campanula portenschlagiana);;легкие, плодородные, сухая, хорошо дренированная;полутень, солнце
Колокольчик портеншлага (Campanula portenschlagiana);;легкие, плодородные, сухая, хорошо дренированная;полутень, солнце
Колокольчик скученный Dahurica Odessa Blue (Campanula glomerata);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Колокольчик скученный Schneekrone (Campanula glomerata);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Колокольчик спиральнолистный Bavaria Blue (Campanula cochleariifolia);;;
Колокольчик спиральнолистный Bavaria White (Campanula cochleariifolia);;;
Колокольчик широколистный Alba (Campanula latifolia);;легкие, плодородные, влажная, хорошо дренированная;полутень, солнце
Кореопсис крупноцветковый Early Sunrise (Coreopsis grandiflora);;;
Коровяк фиолетовый Violetta (Verbascum phoeniceum);;;
Котовник жилковатый Blue Moon (Nepeta nervosa);;;
Котовник жилковатый Neptune (Nepeta nervosa);;;
Котовник кистевидный Alba (Nepeta racemosa);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник кистевидный Felix (Nepeta racemosa);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник полусидячий Blue Panther (Nepeta subsessilis);;;
Котовник полусидячий Pink Panther (Nepeta subsessilis);;;
Котовник полусидячий Snow Panther (Nepeta subsessilis);;;
Котовник фассена Blue Wonder (Nepeta faassenii);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник фассена Walker's Low (Nepeta faassenii);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник фассена Kit Cat (Nepeta faassenii);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник фассена Purrsian Blue (Nepeta faassenii);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
Котовник фассена Six Hills Giant (Nepeta faassenii);;легкие, плодородные, слегка влажная, хорошо дренированная;солнце
